Time,Vultures,Jackals,Hyenas,Lions,Carrion 2,Log10Carrion2,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
0,0.09,0.35,0.19,0.05,1.25,0.096910013,0.672514081,0.792951535,0.178502068,0.0875
2.65,0.089951186,0.353984191,0.19006108,0.05000875,2.133281347,0.329048136,0.809679781,0.836597804,0.253606467,0.149329694
5.3,0.089900964,0.358356688,0.190126697,0.050030164,2.527519925,0.402694588,0.855447879,0.8468778,0.279636864,0.176926395
7.95,0.08985077,0.362841585,0.190193663,0.050056482,2.716538766,0.434015907,0.880621745,0.851001321,0.290977216,0.190157714
10.6,0.089800603,0.367353991,0.19026113,0.050084865,2.7991477,0.447025815,0.897489404,0.852822812,0.295812456,0.195940339
13.25,0.089750465,0.371854865,0.19032874,0.050113954,2.822737964,0.450670564,0.910145282,0.853544589,0.297294875,0.197591657
15.9,0.089700355,0.376322781,0.190396312,0.050143028,2.812973893,0.449165702,0.920388336,0.853675049,0.296925833,0.196908173
18.55,0.089650273,0.380744769,0.190463745,0.050171682,2.78454142,0.444753682,0.92914119,0.853468215,0.295507548,0.194917899
21.2,0.089600219,0.38511247,0.190530981,0.050199692,2.746047403,0.43870803,0.936922255,0.853064088,0.293496893,0.192223318
23.85,0.089550193,0.389420254,0.190597988,0.050226932,2.702568324,0.431776682,0.944038576,0.852544339,0.291162859,0.189179783
26.5,0.089500195,0.393664179,0.190664744,0.05025334,2.6570834,0.424405186,0.950677292,0.851958115,0.288666096,0.185995838
29.15,0.089450224,0.397841391,0.19073124,0.050278887,2.611316322,0.416859483,0.956954134,0.851335445,0.28610277,0.182792143
31.8,0.089400282,0.401949757,0.190797471,0.050303569,2.566240362,0.409297331,0.962941244,0.850694807,0.283530127,0.179636825
34.45,0.089350367,0.405987642,0.190863433,0.050327391,2.52238366,0.401811144,0.968683936,0.850047609,0.280981859,0.176566856
37.1,0.089300481,0.409953763,0.190929127,0.050350369,2.48001339,0.394454026,0.974211046,0.849400933,0.278477454,0.173600937
39.75,0.089250622,0.413847107,0.190994554,0.05037252,2.439246046,0.38725561,0.979541374,0.848759215,0.276027897,0.170747223
42.4,0.089200791,0.41766687,0.191059716,0.050393866,2.400112767,0.380231647,0.984687676,0.848125285,0.273639126,0.168007894
45.05,0.089150988,0.421412429,0.191124616,0.050414429,2.362597548,0.373389749,0.989659123,0.847501002,0.271314099,0.165381828
47.7,0.089101212,0.425083312,0.191189255,0.050434231,2.326659272,0.366732788,0.99446278,0.846887636,0.269054028,0.162866149
50.35,0.089051465,0.428679191,0.191253637,0.050453294,2.292244229,0.360260888,0.999104489,0.846286095,0.266859097,0.160457096
53,0.089001745,0.432199863,0.191317765,0.050471641,2.259293112,0.353972578,1.003589386,0.845697058,0.264728881,0.158150518
55.65,0.088952053,0.435645248,0.191381642,0.050489294,2.227744868,0.347865452,1.007922194,0.845121057,0.262662587,0.155942141
58.3,0.088902388,0.439015379,0.191445272,0.050506274,2.197538765,0.341936545,1.012107384,0.844558518,0.260659199,0.153827714
60.95,0.088852752,0.442310393,0.191508659,0.050522603,2.168615478,0.336182553,1.016149266,0.84400979,0.258717552,0.151803083
63.6,0.088803143,0.445530533,0.191571805,0.050538301,2.140917629,0.330599958,1.020052035,0.84347516,0.256836386,0.149864234
66.25,0.088753562,0.448676132,0.191634714,0.05055339,2.114390042,0.325185105,1.023819791,0.842954859,0.255014378,0.148007303
68.9,0.088704008,0.451747617,0.19169739,0.050567887,2.088979829,0.319934246,1.02745655,0.842449075,0.253250157,0.146228588
71.55,0.088654483,0.454745496,0.191759836,0.050581814,2.064636402,0.31484358,1.030966248,0.84195795,0.251542321,0.144524548
74.2,0.088604984,0.457670356,0.191822057,0.050595189,2.041311435,0.309909268,1.034352742,0.84148159,0.249889449,0.1428918
76.85,0.088555514,0.460522859,0.191884055,0.05060803,2.018958802,0.305127457,1.037619809,0.841020064,0.248290108,0.141327116
79.5,0.088506071,0.463303732,0.191945835,0.050620354,1.997534505,0.30049429,1.040771143,0.840573405,0.246742858,0.139827415
82.15,0.088456656,0.466013768,0.1920074,0.05063218,1.976996599,0.296005922,1.043810354,0.840141619,0.245246264,0.138389762
84.8,0.088407268,0.468653815,0.192068753,0.050643525,1.957305103,0.291658528,1.04674097,0.839724681,0.243798894,0.137011357
87.45,0.088357908,0.471224775,0.1921299,0.050654403,1.938421924,0.287448313,1.049566433,0.83932254,0.242399328,0.135689535
90.1,0.088308575,0.473727598,0.192190842,0.050664832,1.920310772,0.283371518,1.052290099,0.838935119,0.24104616,0.134421754
92.75,0.08825927,0.476163276,0.192251584,0.050674827,1.902937081,0.279424429,1.05491524,0.83856232,0.239738002,0.133205596
95.4,0.088209993,0.478532842,0.192312129,0.050684402,1.88626793,0.275603381,1.05744504,0.838204024,0.238473486,0.132038755
98.05,0.088160743,0.480837362,0.192372481,0.050693573,1.870271966,0.271904764,1.0598826,0.837860095,0.237251266,0.130919038
100.7,0.08811152,0.483077933,0.192432643,0.050702352,1.854919328,0.268325027,1.062230936,0.837530376,0.236070021,0.129844353
103.35,0.088062325,0.48525568,0.192492619,0.050710754,1.84018158,0.264860679,1.064492979,0.837214699,0.234928457,0.128812711
106,0.088013158,0.487371748,0.192552413,0.050718792,1.826031638,0.261508298,1.06667158,0.836912878,0.233825305,0.127822215
108.65,0.087964017,0.489427304,0.192612026,0.050726478,1.812443707,0.258264527,1.068769505,0.836624719,0.232759327,0.126871059
111.3,0.087914905,0.491423528,0.192671464,0.050733825,1.799393213,0.255126078,1.070789442,0.836350013,0.231729312,0.125957525
113.95,0.08786582,0.493361617,0.192730728,0.050740844,1.786856748,0.252089736,1.072733999,0.836088543,0.23073408,0.125079972
116.6,0.087816762,0.495242774,0.192789823,0.050747547,1.774812008,0.249152358,1.074605706,0.835840085,0.22977248,0.124236841
119.25,0.087767731,0.49706821,0.192848752,0.050753946,1.763237741,0.246310873,1.076407017,0.835604406,0.228843393,0.123426642
121.9,0.087718728,0.49883914,0.192907516,0.05076005,1.752113692,0.243562284,1.078140312,0.835381266,0.227945728,0.122647958
124.55,0.087669753,0.500556781,0.192966121,0.05076587,1.741420553,0.240903666,1.079807897,0.835170423,0.227078427,0.121899439
127.2,0.087620804,0.502222351,0.193024568,0.050771417,1.731139918,0.238332171,1.081412007,0.834971627,0.22624046,0.121179794
129.85,0.087571883,0.503837062,0.19308286,0.050776699,1.721254233,0.235845021,1.082954806,0.834784628,0.225430827,0.120487796
132.5,0.087522989,0.505402124,0.193141001,0.050781726,1.711746761,0.233439515,1.084438392,0.834609171,0.22464856,0.119822273
135.15,0.087474123,0.506918738,0.193198992,0.050786508,1.702601531,0.23111302,1.085864795,0.834445,0.223892718,0.119182107
137.8,0.087425284,0.508388099,0.193256838,0.050791052,1.693803311,0.228862977,1.087235981,0.834291859,0.223162389,0.118566232
140.45,0.087376472,0.50981139,0.19331454,0.050795368,1.68533756,0.2266869,1.088553852,0.834149489,0.222456689,0.117973629
143.1,0.087327687,0.511189785,0.193372101,0.050799463,1.677190401,0.224582368,1.089820249,0.834017633,0.221774764,0.117403328
