Time, Vultures, Jackals, Hyenas, Lions, Carrion, Log10Carrion, JackalRemovalRate, HyenaRemovalRate, LionRemovalRate, VultureRemovalRate, DecayRate
0,0.09,0.35,0.19,0.05,0.0017,-2.7696,0.0023748,0.0087265,0.00033982,0.01963,0.000119
2.65,0.090204,0.35175,0.19012,0.050015,0.34244,-0.46542,0.33498,0.59966,0.061742,0.10386,0.02397
5.3,0.090411,0.35379,0.19025,0.050032,0.34489,-0.46232,0.33859,0.60153,0.062163,0.10411,0.024143
7.95,0.090618,0.3558,0.19039,0.05005,0.34324,-0.4644,0.33938,0.60098,0.061916,0.10434,0.024027
10.6,0.090827,0.35778,0.19052,0.050068,0.34154,-0.46655,0.3401,0.60039,0.061662,0.10457,0.023908
13.25,0.091035,0.35973,0.19065,0.050085,0.33988,-0.46867,0.3408,0.59982,0.061412,0.1048,0.023792
15.9,0.091244,0.36165,0.19079,0.050102,0.33825,-0.47076,0.34147,0.59926,0.061168,0.10503,0.023678
18.55,0.091454,0.36354,0.19092,0.050119,0.33666,-0.47281,0.34213,0.59872,0.060929,0.10526,0.023566
21.2,0.091664,0.3654,0.19105,0.050136,0.3351,-0.47482,0.34276,0.59818,0.060695,0.10549,0.023457
23.85,0.091874,0.36723,0.19119,0.050153,0.33357,-0.47681,0.34338,0.59766,0.060465,0.10572,0.02335
26.5,0.092085,0.36903,0.19132,0.05017,0.33208,-0.47876,0.34397,0.59715,0.06024,0.10595,0.023245
29.15,0.092296,0.3708,0.19145,0.050187,0.33061,-0.48068,0.34455,0.59665,0.060019,0.10618,0.023143
31.8,0.092508,0.37254,0.19158,0.050203,0.32918,-0.48257,0.34511,0.59616,0.059803,0.10642,0.023042
34.45,0.09272,0.37425,0.19171,0.05022,0.32777,-0.48443,0.34565,0.59568,0.059592,0.10665,0.022944
37.1,0.092933,0.37593,0.19185,0.050236,0.32639,-0.48626,0.34618,0.59522,0.059384,0.10689,0.022847
39.75,0.093146,0.37759,0.19198,0.050252,0.32504,-0.48806,0.34668,0.59477,0.059181,0.10712,0.022753
42.4,0.09336,0.37921,0.19211,0.050269,0.32372,-0.48984,0.34717,0.59432,0.058981,0.10736,0.02266
45.05,0.093574,0.38081,0.19224,0.050285,0.32242,-0.49158,0.34764,0.59389,0.058786,0.10759,0.022569
47.7,0.093789,0.38237,0.19237,0.050301,0.32115,-0.49329,0.3481,0.59347,0.058594,0.10783,0.02248
50.35,0.094004,0.38391,0.1925,0.050316,0.3199,-0.49498,0.34854,0.59306,0.058406,0.10807,0.022393
53,0.094219,0.38542,0.19263,0.050332,0.31868,-0.49664,0.34896,0.59266,0.058222,0.10831,0.022308
55.65,0.094435,0.3869,0.19276,0.050348,0.31748,-0.49828,0.34937,0.59227,0.058042,0.10855,0.022224
58.3,0.094651,0.38836,0.19289,0.050363,0.31631,-0.49989,0.34976,0.59189,0.057864,0.10879,0.022142
60.95,0.094868,0.38979,0.19302,0.050379,0.31516,-0.50147,0.35013,0.59152,0.057691,0.10903,0.022061
