Time, Vultures, Jackals, Hyenas, Lions, Carrion, Log10Carrion, JackalRemovalRate, HyenaRemovalRate, LionRemovalRate, VultureRemovalRate, DecayRate
0,0.09,0.175,0.095,0.025,0.0017,-2.7696,0.0011874,0.0043632,0.00016991,0.01963,0.000119
2.65,0.09021,0.17715,0.095087,0.02503,3.1469,0.49788,0.44348,0.429,0.15698,0.10588,0.22028
5.3,0.090422,0.17998,0.095184,0.025081,5.1996,0.71597,0.48898,0.43853,0.19582,0.10623,0.36397
7.95,0.090635,0.18297,0.095282,0.02514,6.7489,0.82923,0.51245,0.44228,0.21479,0.10651,0.47242
10.6,0.090849,0.18602,0.09538,0.025203,7.9461,0.90015,0.52927,0.44443,0.22611,0.10678,0.55622
13.25,0.091063,0.1891,0.095479,0.025268,8.8769,0.94826,0.54314,0.44589,0.23361,0.10704,0.62138
15.9,0.091277,0.19221,0.095578,0.025334,9.5998,0.98226,0.55544,0.44701,0.23891,0.1073,0.67199
18.55,0.091492,0.19532,0.095677,0.025402,10.158,1.0068,0.56678,0.44791,0.24283,0.10756,0.71105
21.2,0.091708,0.19844,0.095777,0.025471,10.584,1.0246,0.57749,0.44868,0.24581,0.10782,0.74088
23.85,0.091924,0.20155,0.095876,0.02554,10.904,1.0376,0.58774,0.44936,0.24814,0.10807,0.76327
26.5,0.092141,0.20466,0.095976,0.02561,11.138,1.0468,0.59765,0.44997,0.24998,0.10833,0.77967
29.15,0.092358,0.20776,0.096075,0.02568,11.303,1.0532,0.60728,0.45054,0.25147,0.10858,0.79122
31.8,0.092576,0.21085,0.096175,0.02575,11.412,1.0574,0.61668,0.45108,0.25268,0.10884,0.79883
34.45,0.092794,0.21392,0.096275,0.02582,11.475,1.0598,0.62588,0.45158,0.25367,0.1091,0.80327
37.1,0.093013,0.21697,0.096374,0.02589,11.502,1.0608,0.63491,0.45207,0.25448,0.10936,0.80514
39.75,0.093232,0.22,0.096474,0.02596,11.499,1.0607,0.64377,0.45253,0.25516,0.10961,0.80492
42.4,0.093452,0.22301,0.096574,0.02603,11.472,1.0596,0.65247,0.45298,0.25572,0.10987,0.80303
45.05,0.093672,0.22599,0.096674,0.0261,11.426,1.0579,0.66103,0.45343,0.25618,0.11013,0.7998
