Time, Vultures, Jackals, Hyenas, Lions, Carrion, Log10Carrion, JackalRemovalRate, HyenaRemovalRate, LionRemovalRate, VultureRemovalRate, DecayRate
0,0.09,0.35,0.19,0.05,0.0017,-2.7696,0.0023748,0.0087265,0.00033982,0.01963,0.000119
2.65,0.090209,0.35362,0.19016,0.050043,1.5977,0.2035,0.74216,0.81636,0.21162,0.10563,0.11184
5.3,0.090421,0.35836,0.19035,0.05011,2.0688,0.31572,0.81289,0.83589,0.2495,0.10599,0.14482
7.95,0.090633,0.36329,0.19054,0.050183,2.2645,0.35498,0.84409,0.84238,0.26357,0.10628,0.15852
10.6,0.090846,0.36829,0.19072,0.050259,2.3373,0.36871,0.86258,0.84509,0.26882,0.10654,0.16361
13.25,0.09106,0.37328,0.19091,0.050335,2.3489,0.37087,0.87537,0.84621,0.26999,0.10679,0.16443
15.9,0.091274,0.37825,0.1911,0.050411,2.3295,0.36726,0.88517,0.84656,0.26912,0.10704,0.16306
18.55,0.091488,0.38318,0.19129,0.050486,2.2946,0.3607,0.89329,0.84649,0.26719,0.10728,0.16062
21.2,0.091703,0.38806,0.19147,0.050561,2.2526,0.35268,0.90039,0.84621,0.26474,0.10753,0.15768
23.85,0.091919,0.39287,0.19166,0.050635,2.2079,0.34398,0.90685,0.8458,0.26204,0.10777,0.15455
26.5,0.092134,0.39763,0.19185,0.050707,2.1629,0.33503,0.91286,0.84534,0.25926,0.10802,0.1514
29.15,0.092351,0.40232,0.19204,0.050779,2.1187,0.32607,0.91854,0.84485,0.25646,0.10827,0.14831
31.8,0.092568,0.40694,0.19222,0.050849,2.0759,0.31721,0.92397,0.84435,0.2537,0.10851,0.14531
34.45,0.092785,0.41149,0.19241,0.050919,2.0348,0.30852,0.92917,0.84384,0.251,0.10876,0.14243
37.1,0.093003,0.41597,0.1926,0.050988,1.9953,0.30002,0.93416,0.84334,0.24837,0.10901,0.13967
39.75,0.093222,0.42038,0.19278,0.051055,1.9576,0.29173,0.93897,0.84285,0.24581,0.10926,0.13703
42.4,0.09344,0.42472,0.19297,0.051122,1.9216,0.28366,0.9436,0.84237,0.24332,0.1095,0.13451
45.05,0.09366,0.42898,0.19315,0.051188,1.8871,0.27579,0.94806,0.8419,0.24091,0.10975,0.1321
47.7,0.09388,0.43316,0.19334,0.051253,1.8542,0.26815,0.95235,0.84144,0.23857,0.11,0.12979
50.35,0.0941,0.43726,0.19352,0.051317,1.8227,0.26071,0.95647,0.841,0.23631,0.11025,0.12759
53,0.094321,0.44129,0.19371,0.05138,1.7926,0.25347,0.96044,0.84057,0.23412,0.11051,0.12548
55.65,0.094542,0.44524,0.19389,0.051443,1.7638,0.24644,0.96426,0.84015,0.23199,0.11076,0.12346
